Date,crude_oil
2018-03-01,70.27
2018-04-01,75.169998
2018-05-01,77.589996
2018-06-01,79.440002
2018-07-01,74.250000
2018-08-01,77.419998
2018-09-01,82.720001
2018-10-01,75.470001
2018-11-01,58.709999
2018-12-01,52.279999
2019-01-01,61.889999
2019-02-01,66.029999
2019-03-01,68.389999
2019-04-01,72.800003
2019-05-01,64.489998
2019-06-01,66.550003
2019-07-01,65.169998
2019-08-01,60.430000
2019-09-01,60.779999
2019-10-01,60.230000
2019-11-01,62.430000
2019-12-01,68.379997
2020-01-01,58.160000
2020-02-01,50.520000
2020-03-01,22.740000
2020-04-01,25.270000
2020-05-01,35.330002
2020-06-01,41.150002
2020-07-01,43.299999
2020-08-01,45.099998
2020-09-01,40.950001
2020-10-01,37.459999
2020-11-01,47.590000
2020-12-01,51.340000
2021-01-01,55.880001
2021-02-01,66.13
2021-03-01,63.54
2021-04-01,67.25
2021-05-01,69.63
