date,sales
2015-02-01,67.9958283570089
2015-03-01,88.6559730452857
2015-04-01,108.722139700481
2015-05-01,142.997272468966
2015-06-01,137.809593515232
2015-07-01,190.298906128355
2015-08-01,203.208806115843
2015-09-01,190.912781657984
2015-10-01,183.652239113745
2015-11-01,183.099830551265
2015-12-01,194.761579491233
2016-01-01,260.119103119205
2016-02-01,154.943574835088
2016-03-01,181.665966306478
2016-04-01,204.400440949129
2016-05-01,224.593243312736
2016-06-01,200.339886098921
2016-07-01,230.327722235661
2016-08-01,213.173109320739
2016-09-01,248.323933566935
2016-10-01,233.64094801447
2016-11-01,237.250078486428
2016-12-01,239.115580309421
2017-01-01,278.018246079097
2017-02-01,172.768403383965
2017-03-01,202.378123067892
2017-04-01,260.681794987205
2017-05-01,246.016106768549
2017-06-01,277.572823385772
2017-07-01,296.597326212759
2017-08-01,305.425156917393
2017-09-01,312.150821983422
2017-10-01,281.495874912344
2017-11-01,309.56605045861
2017-12-01,314.014726070297
2018-01-01,364.168329386318
2018-02-01,269.024907449257
2018-03-01,291.970817656466
2018-04-01,356.515701402593
2018-05-01,377.786394363483
2018-06-01,387.046610563795
2018-07-01,385.1034785718
2018-08-01,416.50637519972
2018-09-01,436.257208970097
2018-10-01,408.748985248227
2018-11-01,442.079341520883
2018-12-01,444.673231908926
2019-01-01,482.522754431248
2019-02-01,354.378345082781
2019-03-01,373.43941573555
2019-04-01,432.256825687321
2019-05-01,483.950327724519
2019-06-01,423.383877006247
2019-07-01,435.942701757115
2019-08-01,463.606255264729
2019-09-01,497.919128123803
2019-10-01,514.936986540643
2019-11-01,480.943517249258
2019-12-01,468.546079007412
2020-01-01,516.869177894662
